index,Adj Close,Open,High,Low,Volume
2016-07-04 00:00:00,10800,10700,11000,10550,456889
2016-07-05 00:00:00,10850,10700,10950,10500,347394
2016-07-06 00:00:00,10600,10950,10950,10500,348110
2016-07-07 00:00:00,10700,10700,10850,10600,245380
2016-07-08 00:00:00,10550,10750,10800,10500,174590
2016-07-11 00:00:00,10900,10700,10950,10600,402091
2016-07-12 00:00:00,10550,10800,10900,10500,334387
2016-07-13 00:00:00,10800,10600,11150,10600,617028
2016-07-14 00:00:00,10650,10800,10800,10600,188185
2016-07-15 00:00:00,10400,10700,10700,10250,373320
2016-07-18 00:00:00,10400,10350,10450,10100,258372
2016-07-19 00:00:00,10150,10400,10500,10100,225654
2016-07-20 00:00:00,10200,10200,10350,10150,125426
2016-07-21 00:00:00,10200,10250,10350,10100,149431
2016-07-22 00:00:00,10050,10150,10250,10000,228387
2016-07-25 00:00:00,10450,10050,10500,10050,389058
2016-07-26 00:00:00,10250,10450,10450,10200,159804
2016-07-27 00:00:00,9900,10200,10250,9840,404279
2016-07-28 00:00:00,10050,9900,10050,9820,174412
2016-07-29 00:00:00,9850,10050,10100,9850,159136
2016-08-01 00:00:00,9690,9870,9900,9640,181936
2016-08-02 00:00:00,9830,9700,10000,9700,109625
2016-08-03 00:00:00,9760,9850,9930,9690,123741
2016-08-04 00:00:00,9840,9770,9880,9760,78130
2016-08-05 00:00:00,9810,9890,9900,9810,112813
2016-08-08 00:00:00,9900,9810,9980,9800,106587
2016-08-09 00:00:00,9990,9950,10150,9930,180734
2016-08-10 00:00:00,10000,9990,10150,9900,123471
2016-08-11 00:00:00,10050,10050,10150,9980,83114
2016-08-12 00:00:00,9930,10050,10200,9860,252895
2016-08-16 00:00:00,10200,10100,10250,10000,263385
2016-08-17 00:00:00,10050,10200,10250,9980,171964
2016-08-18 00:00:00,9830,10100,10100,9650,239724
2016-08-19 00:00:00,9820,9800,9930,9730,96801
2016-08-22 00:00:00,9520,9860,9860,9450,174938
2016-08-23 00:00:00,9800,9530,9850,9520,148071
2016-08-24 00:00:00,9800,9850,9850,9650,81112
2016-08-25 00:00:00,9500,9800,9800,9460,177668
2016-08-26 00:00:00,9410,9490,9490,9230,185015
2016-08-29 00:00:00,9110,9410,9590,9090,197309
2016-08-30 00:00:00,9230,9270,9310,9100,101077
2016-08-31 00:00:00,8950,9230,9280,8760,150673
2016-09-01 00:00:00,9060,8870,9140,8870,87902
2016-09-02 00:00:00,9060,9060,9200,9000,74773
2016-09-05 00:00:00,9240,9180,9260,9080,96727
2016-09-06 00:00:00,9140,9210,9280,9090,90468
2016-09-07 00:00:00,9180,9210,9240,9090,57655
2016-09-08 00:00:00,8950,9080,9200,8930,126469
2016-09-09 00:00:00,8950,8920,9010,8860,68584
2016-09-12 00:00:00,8800,8850,9030,8750,135615
2016-09-13 00:00:00,8850,8890,9060,8790,68823
2016-09-19 00:00:00,8850,9020,9030,8800,118329
2016-09-20 00:00:00,9350,8930,9460,8930,322749
2016-09-21 00:00:00,9380,9540,9540,9330,113174
2016-09-22 00:00:00,9270,9430,9470,9230,129262
2016-09-23 00:00:00,9410,9280,9440,9280,86400
2016-09-26 00:00:00,9460,9400,9550,9290,133142
2016-09-27 00:00:00,9400,9400,9520,9300,119300
2016-09-28 00:00:00,9390,9400,9460,9250,133680
2016-09-29 00:00:00,9480,9390,9510,9360,70167
2016-09-30 00:00:00,9220,9480,9480,9200,126703
2016-10-04 00:00:00,9280,9210,9340,9080,50421
2016-10-05 00:00:00,9230,9210,9350,9200,64385
2016-10-06 00:00:00,9260,9230,9330,9230,67431
2016-10-07 00:00:00,9150,9330,9340,9150,107263
2016-10-10 00:00:00,9100,9060,9290,9060,97987
2016-10-11 00:00:00,9300,9120,9330,9100,92452
2016-10-12 00:00:00,9790,9300,9850,9300,287490
2016-10-13 00:00:00,9720,9850,9890,9570,151307
2016-10-14 00:00:00,9720,9650,9900,9650,135046
2016-10-17 00:00:00,9350,9770,9830,9350,175747
2016-10-18 00:00:00,9500,9470,9620,9350,66180
2016-10-19 00:00:00,9700,9510,9830,9500,136584
2016-10-20 00:00:00,9800,9600,9860,9600,147924
2016-10-21 00:00:00,9770,9810,9820,9700,92562
2016-10-24 00:00:00,9780,9860,9930,9740,139623
2016-10-25 00:00:00,9690,9760,9890,9500,147970
2016-10-26 00:00:00,9840,9560,9890,9560,136172
2016-10-27 00:00:00,9930,9860,10000,9840,148014
2016-10-28 00:00:00,9750,9890,10000,9690,90840
2016-10-31 00:00:00,9910,9850,10200,9750,192647
2016-11-01 00:00:00,9920,9870,10100,9840,129470
2016-11-02 00:00:00,9550,9810,9890,9420,125202
2016-11-03 00:00:00,9340,9500,9580,9280,74607
2016-11-04 00:00:00,9600,9400,9610,9030,79439
2016-11-07 00:00:00,9580,9790,9790,9420,34143
2016-11-08 00:00:00,9620,9580,9750,9520,45571
2016-11-09 00:00:00,9220,9510,9770,9060,195362
2016-11-10 00:00:00,9580,9270,9670,9270,130999
2016-11-11 00:00:00,9780,9710,9800,9510,105757
2016-11-14 00:00:00,9770,9710,9950,9710,110162
2016-11-15 00:00:00,9620,9770,9790,9490,104279
2016-11-16 00:00:00,9620,9550,9680,9550,77069
